"Link","Name","Pos","Year","College","RAS","All Time"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22313'>Link</a>","Rodell Rahmaan","TE","2022","Tennessee State","7.01","7.01"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21370'>Link</a>","Erik Ezukanma","WR","2022","Texas Tech","6.99","6.99"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22288'>Link</a>","Clint Sigg","TE","2022","Lindenwood","6.99","6.99"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21415'>Link</a>","Dohnovan West","OG","2022","Arizona State","6.98","6.98"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21489'>Link</a>","AJ Arcuri","OT","2022","Michigan State","6.98","6.98"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22013'>Link</a>","Devonta'e Henry-Cole","RB","2022","Utah State","6.96","6.96"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22303'>Link</a>","Cole Bentley","OC","2022","Louisville","6.96","6.96"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21256'>Link</a>","Brandon Chapman","TE","2022","Wake Forest","6.94","6.94"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=21877'>Link</a>","Tre Ford","QB","2022","Waterloo","6.92","6.92"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21438'>Link</a>","Jerome Ford","RB","2022","Cincinnati","6.91","6.91"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21618'>Link</a>","Kary Kutsch","OG","2022","Colorado","6.9","6.9"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22386'>Link</a>","Clarence Hicks","LB","2022","UTSA","6.9","6.9"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21319'>Link</a>","Jacob Morgenstern","LB","2022","Texas Tech","6.89","6.89"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22063'>Link</a>","Freddie McGee III","CB","2022","Eastern Michigan","6.89","6.89"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22141'>Link</a>","Jahcour Pearson","WR","2022","Mississippi","6.87","6.87"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22038'>Link</a>","Tyreek Maddox-Williams","LB","2022","Rutgers","6.85","6.85"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=21898'>Link</a>","Mike Caliendo","OC","2022","Western Michigan","6.84","6.84"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=21954'>Link</a>","Laakea Kahoohanohano-Davis","LB","2022","Southern Utah","6.84","6.84"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=20994'>Link</a>","Jordan Williams","DT","2022","Virginia Tech","6.83","6.83"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21314'>Link</a>","Blaze Alldredge","LB","2022","Missouri","6.82","6.82"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21533'>Link</a>","Ralph Holley","DT","2022","Western Michigan","6.81","6.81"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22102'>Link</a>","Nick Sink","OC","2022","Ohio","6.81","6.81"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22101'>Link</a>","DeMontre Tuggle","RB","2022","Ohio","6.8","6.8"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22148'>Link</a>","Joel Dubanko","LB","2022","Cincinnati","6.8","6.8"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21625'>Link</a>","Chima Azunna","SS","2022","Hawaii","6.79","6.79"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21005'>Link</a>","Danny Gray","WR","2022","Southern Methodist","6.77","6.77"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21259'>Link</a>","Jean Delance","OT","2022","Florida","6.77","6.77"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21267'>Link</a>","Josh McCauley","OC","2022","Arizona","6.75","6.75"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21323'>Link</a>","Jack Jones","CB","2022","Arizona State","6.74","6.74"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22170'>Link</a>","Keaton Burggeling","WR","2022","Carleton","6.74","6.74"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22423'>Link</a>","Jonathan Johnson","WR","2022","Richmond","6.74","6.74"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21117'>Link</a>","Jake Ferguson","TE","2022","Wisconsin","6.73","6.73"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=21879'>Link</a>","Justin Covington","RB","2022","Villanova","6.73","6.73"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=21934'>Link</a>","Jake Hlava","DE","2022","Grand Valley State","6.73","6.73"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21028'>Link</a>","J'ATyre Carter","OT","2022","Southern University","6.72","6.72"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=21869'>Link</a>","Jesse Bramble","SS","2022","Fordham","6.72","6.72"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22468'>Link</a>","Elijah Jones","CB","2022","Oregon State","6.72","6.72"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22575'>Link</a>","Wyatt Harwood","LS","2022","Indiana State","6.72","6.72"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21276'>Link</a>","Thayer Munford","OG","2022","Ohio State","6.71","6.71"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21366'>Link</a>","Shermari Jones","RB","2022","Coastal Carolina","6.71","6.71"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=21901'>Link</a>","Mark Brooks","OT","2022","Western Michigan","6.71","6.71"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22594'>Link</a>","Donnell Williams","WR","2022","Tennessee-Martin","6.71","6.71"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21106'>Link</a>","Spencer Burford","OT","2022","UTSA","6.69","6.69"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21630'>Link</a>","Brayden Thomas","DE","2022","North Dakota State","6.69","6.69"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21583'>Link</a>","Tyrion Davis-Price","RB","2022","Louisiana State","6.68","6.68"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22021'>Link</a>","Nick Heninger","DE","2022","Utah State","6.68","6.68"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21285'>Link</a>","Julius Turner","DT","2022","Rutgers","6.67","6.67"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22268'>Link</a>","Leonard Johnson","CB","2022","Duke","6.67","6.67"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21506'>Link</a>","Jacobi Francis","CB","2022","Memphis","6.66","6.66"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22108'>Link</a>","Cedrick Cunningham Jr.","FS","2022","Army","6.66","6.66"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21690'>Link</a>","JD Woods","WR","2022","Baker","6.64","6.64"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22173'>Link</a>","Chris Ciguineau","SS","2022","Ottawa","6.64","6.64"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21580'>Link</a>","LaBryan Ray","DT","2022","Alabama","6.63","6.63"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22031'>Link</a>","Tolu Ogunrinde","DE","2022","South Dakota State","6.63","6.63"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21407'>Link</a>","Kevin Jarvis","OG","2022","Michigan State","6.62","6.62"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=21878'>Link</a>","Tyrell Ford","FS","2022","Waterloo","6.62","6.62"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22432'>Link</a>","Garrett Crall","DE","2022","Wyoming","6.6","6.6"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21030'>Link</a>","Brian Robinson Jr.","RB","2022","Alabama","6.59","6.59"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21242'>Link</a>","Mike Harley","WR","2022","Miami","6.59","6.59"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21466'>Link</a>","Chasen Hines","OG","2022","Louisiana State","6.58","6.58"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21061'>Link</a>","Abram Smith","RB","2022","Baylor","6.57","6.57"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=21865'>Link</a>","Khalan Tolson","LB","2022","Illinois","6.57","6.57"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22533'>Link</a>","Caleb Lightbourn","PK","2022","Idaho","6.57","6.57"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21455'>Link</a>","Kolby Harvell-Peel","SS","2022","Oklahoma State","6.55","6.55"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22397'>Link</a>","Moses Reynolds","CB","2022","Incarnate Word","6.55","6.55"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22661'>Link</a>","Caleb Smith","WR","2022","Towson","6.55","6.55"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22223'>Link</a>","Randy Wade Jr.","DT","2022","Georgia Southern","6.54","6.54"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22641'>Link</a>","James Parker","OC","2022","Colorado State Pueblo","6.54","6.54"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21310'>Link</a>","James Skalski","LB","2022","Clemson","6.53","6.53"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=21925'>Link</a>","Kalil Pimpleton","WR","2022","Central Michigan","6.53","6.53"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22495'>Link</a>","Darren Evans","CB","2022","Louisiana State","6.53","6.53"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22508'>Link</a>","Cam Butler","FB","2022","Colorado State","6.52","6.52"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21279'>Link</a>","Eyioma Uwazurike","DT","2022","Iowa State","6.51","6.51"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=21884'>Link</a>","Kenny Hebert","LB","2022","Arizona","6.51","6.51"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22049'>Link</a>","Josh Greenwood","DT","2022","Brockport","6.5","6.5"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22189'>Link</a>","Deionte Knight","DT","2022","Western University","6.5","6.5"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=20998'>Link</a>","Jack Badovinac","OG","2022","Illinois","6.49","6.49"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21253'>Link</a>","Justin Rigg","TE","2022","Kentucky","6.48","6.48"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22350'>Link</a>","Justin Calderon","OG","2022","Calderon State","6.48","6.48"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=20975'>Link</a>","Lecitus Smith","OG","2022","Virginia Tech","6.47","6.47"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21000'>Link</a>","Mataeo Durant","RB","2022","Duke","6.47","6.47"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21343'>Link</a>","Deontai Williams","FS","2022","Nebraska","6.47","6.47"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22493'>Link</a>","Demetrius Taylor","DT","2022","Appalachian State","6.47","6.47"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://relativeathleticscores.com/ras-information/?PlayerID=21014'>Link</a>","Chigoziem Okonkwo","TE","2022","Maryland","6.45","6.45"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=21755'>Link</a>","Dante Mastrogiuseppe","PK","2022","York","6.45","6.45"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22179'>Link</a>","Frednick Eveillard","DE","2022","Ottawa","6.45","6.45"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22256'>Link</a>","Jared Brinkman","DT","2022","Northern Iowa","6.45","6.45"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22598'>Link</a>","Benjie Franklin","CB","2022","Tarleton","6.45","6.45"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22144'>Link</a>","Keondre Ko","CB","2022","Virginia Tech","6.44","6.44"
"<a target=""_blank"" class=""nt_btn nt_rounded_btn"" style=""color: rgba(0, 0, 0, 1); background-color: rgba(255, 255, 255, 1); border-color: rgba(0, 0, 0, 1)"" href='https://ras.football/ras-information/?PlayerID=22394'>Link</a>","Brandon Lewis","WR","2022","Air Force","6.44","6.44"
